tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,,201,"Adventure,Drama,Fantasy",9.0,2134438,nm0001392,Urdu,"Magical,Adventurous,Thought-Provoking"
tt0088763,movie,Back to the Future,Back to the Future,0,1985,,116,"Adventure,Comedy,Sci-Fi",8.5,1430078,nm0000709,Malayalam,"Fun,Mind-Bending,Light-Hearted"
tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,2014,,121,"Action,Adventure,Comedy",8.0,1347973,nm0348181,Tamil,"Fun,Action-Packed,Light-Hearted"
tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,,132,"Action,Drama,Sci-Fi",8.1,1236281,nm0574625,Hindi,"Action-Packed,Mind-Bending,Thought-Provoking"
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,,131,"Action,Adventure,Fantasy",8.3,1194791,nm0549658,Hindi,"Magical,Action-Packed,Adventurous"
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,0,2004,,108,"Drama,Romance,Sci-Fi",8.3,1166933,nm0327273,Hindi,"Mind-Bending,Romantic,Thought-Provoking"
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,,135,"Biography,Drama,Mystery",8.2,1043956,nm0000165,Hindi,"Thought-Provoking,Emotional,Inspiring"
tt3659388,movie,The Martian,The Martian,0,2015,,144,"Adventure,Drama,Sci-Fi",8.0,993352,nm0000631,Hindi,"Mind-Bending,Adventurous,Thought-Provoking"
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,,178,"Adventure,Drama,Western",8.8,881121,nm0001466,Hindi,"Classic,Adventurous,Thought-Provoking"
tt1392170,movie,The Hunger Games,The Hunger Games,0,2012,,142,"Action,Adventure,Sci-Fi",7.2,1068806,nm0002657,Hindi,"Action-Packed,Mind-Bending,Adventurous"
tt1663202,movie,The Revenant,The Revenant,0,2015,,156,"Adventure,Drama,Western",8.0,935624,nm0327944,Hindi,"Classic,Adventurous,Thought-Provoking"
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,0,2008,,120,"Crime,Drama,Romance",8.0,905186,nm0000965,Malayalam,"Gritty,Romantic,Intense"
tt0241527,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,0,2001,,152,"Adventure,Family,Fantasy",7.7,936651,nm0001060,Tamil,"Epic,Heartwarming,Adventurous"
tt1119646,movie,The Hangover,The Hangover,0,2009,,100,Comedy,7.7,915982,nm0680846,Hindi,"Light-Hearted,Fun"
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,,127,"Action,Adventure,Fantasy",8.2,855925,nm0000229,Malayalam,"Magical,Action-Packed,Adventurous"
tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,,114,"Biography,Drama,Thriller",8.0,869646,nm0878763,Hindi,"Inspiring,Suspenseful,Intense"
tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,,137,"Action,Crime,Thriller",8.0,858771,nm0000233,Hindi,"Gritty,Action-Packed,Suspenseful"
tt0458339,movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,,124,"Action,Adventure,Sci-Fi",6.9,955832,nm0002653,Hindi,"Action-Packed,Mind-Bending,Adventurous"
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,,134,"Biography,Drama,History",8.1,779159,nm2588606,Hindi,"Thought-Provoking,Emotional,Inspiring"
tt3896198,movie,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,0,2017,,136,"Action,Adventure,Comedy",7.6,817621,nm0348181,Hindi,"Fun,Action-Packed,Light-Hearted"
tt0457430,movie,Pan's Labyrinth,El laberinto del fauno,0,2006,,118,"Drama,Fantasy,War",8.2,740892,nm0868219,Hindi,"Magical,Intense,Heroic"
tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,,129,"Action,Adventure,Comedy",7.7,768871,nm0891216,Hindi,"Fun,Action-Packed,Light-Hearted"
tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,0,2016,,133,"Action,Adventure,Sci-Fi",7.8,745575,nm2284484,Hindi,"Action-Packed,Mind-Bending,Adventurous"
tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,0,2008,,166,"Drama,Fantasy,Romance",7.8,737895,nm0000399,Hindi,"Magical,Romantic,Thought-Provoking"
tt0454876,movie,Life of Pi,Life of Pi,0,2012,,127,"Adventure,Drama,Fantasy",7.9,694806,nm0000487,Hindi,"Magical,Adventurous,Thought-Provoking"
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,,139,"Biography,Drama,History",8.1,666386,nm0000154,Hindi,"Thought-Provoking,Emotional,Inspiring"
tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,,129,"Mystery,Sci-Fi,Thriller",8.0,674154,nm0000416,Hindi,"Mysterious,Suspenseful,Mind-Bending"
tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),0,2014,,119,"Comedy,Drama",7.7,693013,nm0327944,Hindi,"Light-Hearted,Emotional,Thought-Provoking"
tt0332280,movie,The Notebook,The Notebook,0,2004,,123,"Drama,Romance",7.8,675990,nm0001024,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,,107,"Comedy,Crime",8.1,645511,nm0005363,Hindi,"Light-Hearted,Intense,Gritty"
tt0936501,movie,Taken,Taken,0,2008,,90,"Action,Crime,Thriller",7.7,666212,nm0603628,Hindi,"Gritty,Action-Packed,Suspenseful"
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,,128,"Comedy,Drama",8.1,631794,nm0001837,Hindi,"Light-Hearted,Emotional,Thought-Provoking"
tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,2006,,117,"Biography,Drama",8.0,610675,nm0610831,Hindi,"Thought-Provoking,Emotional,Inspiring"
tt1323594,movie,Despicable Me,Despicable Me,0,2010,,95,"Adventure,Animation,Comedy",7.6,624934,nm1853544,Hindi,"Whimsical,Fun,Light-Hearted"
tt1219289,movie,Limitless,Limitless,0,2011,,105,"Sci-Fi,Thriller",7.4,640753,nm1139726,Hindi,"Intense,Suspenseful,Mind-Bending"
tt1659337,movie,The Perks of Being a Wallflower,The Perks of Being a Wallflower,0,2012,,103,Drama,7.9,586253,nm0154716,Hindi,"Thought-Provoking,Emotional"
tt1343092,movie,The Great Gatsby,The Great Gatsby,0,2013,,143,"Drama,Romance",7.2,635602,nm0525303,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt0332452,movie,Troy,Troy,0,2004,,163,"Action,Adventure,Drama",7.3,608411,nm0000583,Hindi,"Action-Packed,Adventurous,Thought-Provoking"
tt0087469,movie,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,0,1984,,118,"Action,Adventure",7.5,562939,nm0000229,Malayalam,"Epic,Action-Packed,Thrilling"
tt0289879,movie,The Butterfly Effect,The Butterfly Effect,0,2004,,113,"Drama,Sci-Fi,Thriller",7.6,550782,nm0107774,Hindi,"Suspenseful,Mind-Bending,Intense"
tt1596363,movie,The Big Short,The Big Short,0,2015,,130,"Biography,Comedy,Drama",7.8,530302,nm0570912,Hindi,"Fun,Inspiring,Light-Hearted"
tt0398286,movie,Tangled,Tangled,0,2010,,100,"Adventure,Animation,Comedy",7.7,537068,nm1977355,Hindi,"Whimsical,Fun,Light-Hearted"
tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004,,108,"Action,Mystery,Thriller",7.7,508588,nm0339030,Hindi,"Mysterious,Action-Packed,Suspenseful"
tt0780536,movie,In Bruges,In Bruges,0,2008,,107,"Comedy,Crime,Drama",7.9,488525,nm1732981,Hindi,"Gritty,Fun,Light-Hearted"
tt3170832,movie,Room,Room,0,2015,,118,"Drama,Thriller",8.1,476409,nm1049433,Hindi,"Thought-Provoking,Emotional,Suspenseful"
tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,0,2014,,130,"Action,Adventure,Drama",7.6,507750,nm0716257,Tamil,"Action-Packed,Adventurous,Thought-Provoking"
tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,,115,"Adventure,Comedy,Family",6.7,565149,nm0000318,Hindi,"Fun,Light-Hearted,Adventurous"
tt1790864,movie,The Maze Runner,The Maze Runner,0,2014,,113,"Action,Mystery,Sci-Fi",6.8,553715,nm1226871,Hindi,"Mind-Bending,Mysterious,Action-Packed"
tt1515091,movie,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,0,2011,,129,"Action,Adventure,Mystery",7.4,498935,nm0005363,Hindi,"Mysterious,Action-Packed,Adventurous"
tt0083866,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,,115,"Adventure,Family,Sci-Fi",7.9,466767,nm0000229,Marathi,"Epic,Heartwarming,Adventurous"
tt0458352,movie,The Devil Wears Prada,The Devil Wears Prada,0,2006,,109,"Comedy,Drama",7.0,520230,nm0291205,Hindi,"Light-Hearted,Emotional,Thought-Provoking"
tt1951265,movie,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,0,2014,,123,"Action,Adventure,Sci-Fi",6.6,539126,nm1349376,Hindi,"Action-Packed,Mind-Bending,Adventurous"
tt0120616,movie,The Mummy,The Mummy,0,1999,,124,"Action,Adventure,Fantasy",7.1,494400,nm0814085,Hindi,"Magical,Action-Packed,Adventurous"
tt5580390,movie,The Shape of Water,The Shape of Water,0,2017,,123,"Drama,Fantasy,Romance",7.3,470730,nm0868219,Hindi,"Magical,Romantic,Thought-Provoking"
tt0217869,movie,Unbreakable,Unbreakable,0,2000,,106,"Drama,Mystery,Sci-Fi",7.3,464198,nm0796117,Bengali,"Thought-Provoking,Emotional,Mind-Bending"
tt1217209,movie,Brave,Brave,0,2012,,93,"Action,Adventure,Animation",7.1,473582,nm0028764,Hindi,"Whimsical,Fun,Action-Packed"
tt0081398,movie,Raging Bull,Raging Bull,0,1980,,129,"Biography,Drama,Sport",8.1,405599,nm0000217,Hindi,"Thought-Provoking,Emotional,Inspiring"
tt0388795,movie,Brokeback Mountain,Brokeback Mountain,0,2005,,134,"Drama,Romance",7.7,411873,nm0000487,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt0964517,movie,The Fighter,The Fighter,0,2010,,116,"Action,Biography,Drama",7.8,405017,nm0751102,Hindi,"Inspiring,Action-Packed,Thought-Provoking"
